f_streams_id,dim_customer_id,dim_song_id,dim_date_id,dim_device_id,seconds_played,is_complete,play_mode
1,1,82,20191221,3,130,0,Album
2,1,48,20191207,5,153,0,Shuffle
3,1,10,20191216,1,257,1,Playlist
4,1,86,20191130,2,129,0,Shuffle
5,1,4,20191223,1,229,1,Album
6,1,49,20200806,4,282,1,Playlist
7,1,66,20200113,3,299,1,Search
8,1,96,20200402,4,281,1,Playlist
9,1,68,20210512,4,97,0,Shuffle
10,2,71,20190314,4,199,1,Album
11,2,61,20190217,1,85,0,Search
12,2,49,20190521,5,159,0,Album
13,2,10,20191029,5,282,1,Search
14,2,51,20190630,2,40,0,Album
15,2,12,20201017,3,176,0,Album
16,2,56,20201223,3,59,0,Shuffle
17,2,59,20200811,5,208,1,Search
18,2,95,20210516,3,95,0,Shuffle
19,3,23,20190718,2,187,1,Shuffle
20,3,86,20191006,2,122,0,Search
21,3,12,20190815,2,270,1,Shuffle
22,3,28,20190810,2,271,1,Search
23,3,62,20191129,5,83,0,Playlist
24,3,68,20200924,2,141,0,Album
25,3,48,20200416,1,141,0,Shuffle
26,3,28,20200111,3,192,1,Shuffle
27,3,78,20210301,2,271,1,Search
28,4,97,20191005,5,174,0,Playlist
29,4,89,20190828,3,176,0,Search
30,4,68,20191107,2,75,0,Playlist
31,4,7,20190902,2,202,1,Playlist
32,4,36,20190806,5,283,1,Shuffle
33,4,51,20200315,1,169,0,Shuffle
34,4,68,20200108,4,272,1,Album
35,4,53,20200613,5,140,0,Shuffle
36,4,86,20210309,1,79,0,Playlist
37,5,23,20190617,1,101,0,Album
38,5,32,20191007,5,297,1,Shuffle
39,5,49,20190506,5,190,1,Album
40,5,11,20190610,2,68,0,Album
41,5,45,20191017,4,237,1,Search
42,5,53,20200403,1,289,1,Album
43,5,56,20201119,4,53,0,Playlist
44,5,44,20201003,4,250,1,Playlist
45,5,77,20211019,3,73,0,Shuffle
46,6,22,20190802,5,206,1,Search
47,6,11,20191226,5,46,0,Search
48,6,76,20190608,1,114,0,Album
49,6,43,20190714,4,48,0,Playlist
50,6,77,20191223,4,75,0,Shuffle
51,6,23,20201215,2,208,1,Search
52,6,85,20201122,2,195,1,Album
53,6,83,20200206,5,138,0,Playlist
54,6,61,20210419,2,215,1,Playlist
55,7,89,20191113,3,243,1,Shuffle
56,7,52,20191110,5,274,1,Playlist
57,7,82,20191118,2,101,0,Shuffle
58,7,36,20191123,4,284,1,Playlist
59,7,83,20191201,5,233,1,Playlist
60,7,11,20200722,4,134,0,Album
61,7,32,20200702,4,133,0,Shuffle
62,7,25,20200404,4,31,0,Shuffle
63,7,81,20210513,1,243,1,Playlist
64,8,80,20191016,4,178,0,Search
65,8,11,20191016,2,71,0,Search
66,8,62,20191003,2,249,1,Album
67,8,74,20191003,2,283,1,Playlist
68,8,64,20191120,1,167,0,Album
69,8,57,20200709,2,57,0,Shuffle
70,8,99,20200419,5,232,1,Search
71,8,41,20201020,2,96,0,Search
72,8,69,20210612,4,125,0,Shuffle
73,9,44,20191123,1,161,0,Playlist
74,9,20,20191130,2,169,0,Album
75,9,86,20190914,4,61,0,Shuffle
76,9,53,20190618,5,97,0,Search
77,9,45,20191031,5,209,1,Search
78,9,49,20200313,5,95,0,Playlist
79,9,65,20201014,4,213,1,Shuffle
80,9,24,20201121,1,165,0,Search
81,9,36,20210330,1,272,1,Playlist
82,10,4,20191227,2,183,1,Search
83,10,46,20191223,4,117,0,Search
84,10,46,20191231,2,153,0,Playlist
85,10,28,20191227,2,180,1,Shuffle
86,10,12,20191228,2,237,1,Playlist
87,10,40,20200315,3,228,1,Shuffle
88,10,30,20200617,2,182,1,Search
89,10,19,20201229,5,235,1,Search
90,10,56,20210803,3,285,1,Search
91,11,13,20190730,1,282,1,Shuffle
92,11,96,20190709,4,227,1,Shuffle
93,11,81,20190825,1,236,1,Playlist
94,11,45,20190816,4,147,0,Album
95,11,75,20191014,5,65,0,Playlist
96,11,45,20200919,1,99,0,Search
97,11,50,20200516,3,143,0,Playlist
98,11,68,20200921,3,80,0,Search
99,11,17,20210910,5,133,0,Playlist
100,12,54,20190905,2,224,1,Search
101,12,54,20190626,2,292,1,Shuffle
102,12,40,20191121,5,273,1,Playlist
103,12,48,20190704,3,242,1,Playlist
104,12,40,20191112,4,242,1,Playlist
105,12,95,20200703,5,252,1,Album
106,12,68,20200523,2,224,1,Album
107,12,91,20201024,5,183,1,Playlist
108,12,82,20210224,1,155,0,Search
109,13,10,20191221,4,193,1,Shuffle
110,13,49,20191223,5,121,0,Playlist
111,13,86,20191225,2,299,1,Playlist
112,13,12,20191222,1,53,0,Album
113,13,19,20191225,2,76,0,Album
114,13,81,20200607,1,187,1,Album
115,13,88,20200325,5,209,1,Album
116,13,6,20200515,3,173,0,Album
117,13,95,20211201,5,232,1,Album
118,14,40,20191218,3,51,0,Shuffle
119,14,35,20191102,5,45,0,Album
120,14,57,20190701,5,291,1,Shuffle
121,14,63,20191004,1,92,0,Album
122,14,54,20191028,1,59,0,Playlist
123,14,3,20201230,2,125,0,Shuffle
124,14,4,20200612,1,117,0,Search
125,14,8,20200117,1,271,1,Album
126,14,60,20210116,4,132,0,Search
127,15,23,20190530,3,101,0,Playlist
128,15,29,20191012,3,123,0,Playlist
129,15,62,20190418,4,53,0,Search
130,15,46,20190512,5,80,0,Playlist
131,15,66,20191226,4,63,0,Search
132,15,5,20200526,5,54,0,Shuffle
133,15,6,20201223,2,135,0,Album
134,15,17,20201215,4,152,0,Album
135,15,73,20210204,2,36,0,Shuffle
136,16,43,20190713,1,220,1,Album
137,16,97,20190416,3,167,0,Album
138,16,36,20190929,1,295,1,Playlist
139,16,19,20190819,2,205,1,Album
140,16,69,20190311,2,196,1,Album
141,16,53,20201203,2,223,1,Shuffle
142,16,22,20201204,2,248,1,Search
143,16,95,20200113,3,91,0,Search
144,16,94,20210213,2,150,0,Album
145,17,48,20191231,5,85,0,Shuffle
146,17,89,20191207,3,243,1,Search
147,17,49,20191126,1,230,1,Shuffle
148,17,74,20191223,1,292,1,Shuffle
149,17,90,20191204,4,280,1,Shuffle
150,17,16,20201214,3,190,1,Playlist
